中文名,外文名,QS
国立民用航空学院,ENAC: Ecole Nationale de l'Aviation Civile,
国立文献学院,ENC: Ecole Nationale des Chartes,
恩迪科特学院,Endicott College,
英语与外国语大学,The English And Foreign Languages University,
布雷斯特国立工程师学院,ENI Brest: Ecole Nationale d'Ingénieurs de Brest,
塔布国立工程师学院,ENI Tarbes: Ecole Nationale d'Ingénieurs de Tarbes,
国立路桥学院,ENPC: Ecole Nationale des Ponts et Chaussées,
国立高等应用艺术与工艺学院,ENS AAMA: Ecole nationale supérieure des arts appliqués et des métiers d'art,
卡尚高等师范学院,ENS Cachan: Ecole Normale Supérieure de Cachan,
里昂高等师范学院,ENS Lyon: Ecole Normale Supérieure de Lyon,
巴黎高等师范学院,ENS Paris: Ecole Normale Supérieure de Paris,
巴黎萨克雷高等师范学院,ENS Paris-Saclay: Ecole Normale Supérieure de Paris-Saclay,
雷恩高等师范学院,ENS Rennes: Ecole Normale Supérieure de Rennes,
布列塔尼国立高等建筑学院,ENSA de Bretagne: Ecole Nationale Supérieure d'Architecture de Bretagne,
南锡国立高等建筑学院,ENSA de Nancy: Ecole Nationale Supérieure d'Architecture de Nancy,
第戎国立高等艺术学院,ENSA Dijon：Ecole Nationale Supérieure d'Art de Dijon,
格勒诺布尔国立高等建筑学院,ENSA Grenoble: Ecole Nationale Supérieure d'Architecture de Grenoble,
利摩日国立美术学院,ENSA Limoges：Ecole Nationale Supérieure d'Art de Limoges,
里昂国立高等建筑学院,ENSA Lyon : Ecole Nationale Supérieure d'Architecture de Lyon,
马赛国立高等建筑学院,ENSA Marseille: Ecole Nationale Supérieure d'Architecture de Marseille,
南锡国立高等艺术学院,ENSA Nancy: Ecole Nationale Supérieure d'Art de Nancy,
南特国立高等建筑学院,ENSA Nantes: Ecole Nationale Supérieure d'Architecture de Nantes,
诺曼底国立高等建筑学院,ENSA Normandie: Ecole Nationale Supérieure d'Architecture de Normandie,
巴黎-马拉盖国立高等建筑学院,ENSA Paris Malaquais: Ecole Nationale Supérieure d'Architecture Paris Malaquais,
巴黎－塞纳国立高等建筑学院,ENSA Paris-Val de Seine：Ecole Nationale Supérieure d'Architecture de Paris-Val de Seine,
斯特拉斯堡国立高等建筑学院,ENSA Strasbourg: Ecole Nationale Supérieure d'Architecture de Strasbourg,
图卢兹国立高等建筑学院,ENSA Toulouse: Ecole Nationale Supérieure d'Architecture de Toulouse,
凡尔赛国立高等建筑学院,ENSA Versailles: Ecole Nationale Supérieure d'Architecture de Versailles,
国立高等装饰艺术学院,ENSAD: Ecole Nationale Supérieure des Arts Décoratifs,
南锡国立高等艺术与设计学院,ENSAD Nancy: Ecole Nationale Supérieure d'Art et de Design de Nancy,
国立高等纺织工艺学院,ENSAIT: Ecole Nationale Supérieure des Arts et Industries Textiles,
国立高等工艺学院,ENSAM: Ecole Nationale Supérieure d'Arts et Métiers,
波尔多国立高等建筑与景观学院,ENSAP BORDEAUX: Ecole Nationale Supérieure d'Architecture et de Paysage de Bordeaux,
里尔国立高等化工学院,ENSC Lille: Ecole Nationale Supérieure de Chimie de Lille,
蒙彼利埃国立高等化工学院,ENSC Montpellier: Ecole Nationale Supérieure de Chimie de Montpellier,
巴黎国立高等化工学院,ENSC Paris: Ecole Nationale Supérieure de Chimie de Paris,
雷恩国立高等化工学院,ENSC Rennes: Ecole Nationale Supérieure de Chimie de Rennes,
国立高等工业创意学院,ENSCI Paris：Ecole Nationale Supérieure de Création Industrielle - Les Ateliers,
国立高等电子及电子应用学院,ENSEA: Ecole Nationale Supérieure de l'Electronique et de ses Applications,
国立地理科学学院,ENSG-GEO: Ecole Nationale des Sciences Géographiques,
波城大学国立高等工业科技工程学院,ENSGTI Pau: Ecole nationale supérieure en génie des technologies industrielles de l’Université de Pau,
卡昂国立高等工程师学院,ENSICAEN: Ecole Nationale Supérieure d'Ingénieurs de Caen,
南特国立高等矿业学院,ENSM Nantes: Ecole Nationale Supérieure des Mines de Nantes,
巴黎国立高等矿业学院,ENSM Paris: Ecole Nationale Supérieure des Mines de Paris,
国立高等机械与微技术学院,ENSMM: Ecole Nationale Supérieure de Mécanique et des Microtechniques,
国立高等摄影学院,ENSP: Ecole nationale supérieure de la photographie,
凡尔赛国立高等景观学院,ENSP Versailles : Ecole Nationale Supérieure de Paysage de Versailles,
国立高等石油与发动机学院,ENSPM: Ecole Nationale Supérieure du Pétrole et des Moteurs,
国立高等先进技术学院,ENSTA: Ecole Nationale Supérieure de Techniques Avancées,
杜埃国立高等工业技术与矿业学院,ENSTIM Douai: Ecole Nationale Supérieure des Techniques Industrielles et des Mines de Douai,
国立国家公共工程学院,ENTPE: Ecole Nationale des Travaux Publics de l'Etat,
埃努古州立科技大学,Enugu State University of Science and Technology,
综合理工学院,EP: Ecole Polytechnique,
EPF工程师学院,EPF - Ecole d'Ingénieur-e-s,
巴黎高等研究实践学院,EPHE: Ecole Pratique des Hautes Etudes de Paris,
创新与计算机专家学院,Epitech: Ecole de l'Innovation et de l'Expertise Informatique,
艾博科大学,Epoka Private University,
巴黎平面艺术高等职业学院,EPSAA: Ecole Professionnelle Supérieure d'Arts Graphiques de la Ville de Paris,
布鲁塞尔伊拉斯姆斯学院,Erasmushogeschool Brussel,
立肯学院,Erican College,
伊利社区学院,Erie Community College,
艾里克森研究院,Erikson Institute,
耶拿应用技术大学,Ernst-Abbe-Hochschule Jena,
建筑专业学院,ESA: Ecole Spéciale d'Architecture,
昂热高等农业学院,ESA: Ecole Superiéure d'Agriculture d'Angers,
土伦-普罗旺斯-地中海高等艺术与设计学院,ESADTPM: Ecole supérieure d'art et de design Toulon Provence Méditerranée,
潘宁根高等平面设计与室内建筑学院,"ESAG Penninghen:Ecole Supérieure de Design, d'Art Graphique et d'Architecture Intérieure",
高等现代艺术设计学院,ESAM Design: Ecole Supérieure des Arts Modernes,
巴斯克地区高等艺术学院,ESAPB: Ecole Supérieure d'Art Pays Basque,
木材工程学院,ESB: Ecole Supérieur du Bois,
亚眠高等商业学院,ESC Amiens: Ecole Supérieure de Commerce d'Amiens,
第戎-勃艮第高等商业学院,ESC DIJON: Ecole Supérieure de Commerce de Dijon-Bourgogne,
里尔高等商业学院,ESC Lille: Ecole Supérieure de Commerce de Lille,
波城高等商业学院,ESC PAU: Ecole Supérieure de Commerce de Pau,
圣太田高等商业学院,ESC SAINT-ETIENNE: Ecole Supérieure de Commerce de Saint-Etienne,
高等外贸学院,ESCE: Ecole Supérieure du Commerce Extérieur,
瓦加斯基金会巴西公共与企业管理学院,Escola Brasileira de Administração Pública e de Empresas da Fundação Getulio Vargas,
瓦加斯基金会圣保罗工商管理学院,Escola de Administração de Empresas de São Paulo da Fundação Getulio Vargas,
瓦加斯基金会圣保罗法学院,Escola de Direito de São Paulo da Fundação Getulio Vargas,
瓦加斯基金会圣保罗经济学院,Escola de Economia de São Paulo da Fundação Getulio Vargas,
瓦加斯基金会国际关系学院,Escola de Relações Internacionais da Fundação Getulio Vargas,
艺术与设计学院,Escola Superior de Artes e Design,
埃什托里尔酒店与旅游高等学校,Escola Superior de Hotelaria e Turismo do Estoril,
广告与营销高等学院,Escola Superior de Propaganda e Marketing,
ESCP欧洲高等商学院,ESCP Europe Business School,
柏林欧洲经济学院,ESCP Europe Wirtschaftshochschule Berlin,
银行与贸易学院,Escuela Bancaria y Comercial,
拉丁美洲医学院,Escuela Latinoamericana de Medicina,
钦博拉索高等理工学院,Escuela Superior Politécnica de Chimborazo,
海岸高等理工学院,Escuela Superior Politécnica del Litoral,901-950
里昂社会经济发展高级学院,ESDES Lyon: Ecole Supérieure pour le Développement Economique et Social de Lyon,
高等电影研究学院,ESEC: Ecole Supérieure d'Etudes Cinématographiques,
高等管理学院-工商管理学院,ESGCV-MBA ESG: Ecole Supérieure de Gestion,
高等计算机、电子及自动化学院,"ESIEA: Ecole Supérieure d'Informatique, Electronique, Automatique",
巴黎高等电子与电工技术工程师学院,ESIEE Paris,
高等电子工程工程师学院,ESIGELEC: Ecole Supérieure d'Ingénieurs en Génie Electrique,
伊希姆大学,Esil University,
里尔高等新闻学院,ESJ: Ecole Supérieure de Journalisme de Lille,
埃斯基谢尔技术大学,Eskisehir Technical University,
商务应用科学自由高等学院,ESLSCA: Ecole Supérieure Libre des Sciences Commerciales Appliquées,
电力与机械专业学院,ESME: Ecole Spéciale de Mécanique et d'Electricité,
时尚艺术与技术高等学院,ESMOD: Ecole Supérieure des Arts et Techniques de la Mode,
柏林欧洲管理与技术学院,ESMT European School of Management and Technology,
ESP音乐专门学校大阪校区,専門学校ESPエンタテインメント大阪,
ESP音乐专门学校东京校区,専門学校ESPエンタテインメント東京,
巴黎市工业物理化学学院,ESPCI: Ecole Supérieure de Physique et de Chimie Industrielle de la Ville de Paris,
高等房地产职业学院,ESPI: Ecole Supérieure des Professions Immobilières,
巴黎高等视听制作学院,ESRA Paris: Groupe ESRA-Ecole Supérieure de Réalisation Audiovisuelle de Paris,
昂热高等商业科学学院,ESSCA: Ecole Supérieure des Sciences Commerciales d'Angers,
ESSEC高等商学院,ESSEC Business School,
埃塞克斯郡学院,Essex County College,
高等航空技术与汽车制造学院,ESTACA: Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile,
高等先进工业技术学院,ESTIA: Ecole Supérieure des Technologies Industrielles Avancées,
爱沙尼亚音乐与戏剧学院,Estonian Academy of Music and Theatre,
爱沙尼亚商学院,Estonian Business School,
巴黎市政工程建筑工业专业学院,"ESTP: Ecole Spéciale des Travaux Publics, du Batiment et de l'Industrie",
埃斯特尔哈兹·卡洛伊天主教大学,Eszterházy Károly Katolikus Egyetem,
经济、会计、商业与通信技术学院,ETEC: Ecole des Techniques Economiques Comptables Commerciales et de Communication,
ESMA高等艺术学院,ETPA - ECOLES CREATIVES – ESMA Ecole Supérieure des Métiers Artistiques,
尤肯国际大学,Eucon International University,
弗罗茨瓦夫艺术与设计学院,Eugeniusz Geppert Academy of Art and Design  in Wrocław,
罗德里格斯科学与技术学院,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",
欧洲通信学院,Eurecom,
弗伦斯堡大学,Europa-Universität Flensburg,
奥德河畔法兰克福欧洲大学,Europa-Universität Viadrina Frankfurt (Oder),
布鲁赫欧洲应用技术大学,Europäische Fachhochschule Rhein/Erft,
欧洲人文大学,European Humanities University,
欧洲区域教育学院,European Regional Educational Academy,
伊凡格尔大学,Evangel University,
埃弗雷特社区学院,Everett Community College,
常青州立学院,The Evergreen State College,
Excelia商学院,Excelia Group,
伊塞西雅学院,Excelsia College,
埃斯伯利学院,Eynesbury College,
亚琛应用技术大学,Fachhochschule Aachen,
比勒菲尔德应用技术大学,Fachhochschule Bielefeld,
布尔根兰应用科学大学,Fachhochschule Burgenland,
维也纳康普斯应用科学大学,Fachhochschule Campus Wien,
帕德博恩经济应用技术大学,Fachhochschule der Wirtschaft,
比勒费尔德中等企业应用技术大学,Fachhochschule des Mittelstands (FHM),
多特蒙德应用技术大学,Fachhochschule Dortmund,
德累斯顿应用技术大学,Fachhochschule Dresden,
埃尔福特应用技术大学,Fachhochschule Erfurt,
弗伦斯堡应用技术大学,Fachhochschule Flensburg,
格劳宾登州高等专业学院,"Fachhochschule Graubünden, FHGR",
约阿内应用科学大学,Fachhochschule Joanneum,
克恩藤应用科学大学,Fachhochschule Kärnten,
凯尔公共管理应用技术大学,Fachhochschule Kehl-Hochschule für öffentliche Verwaltung,
基尔应用技术大学,Fachhochschule Kiel,
蒂罗尔州库夫施泰因应用科学大学,Fachhochschule Kufstein Tirol,
路德维希堡公共管理与金融应用技术大学,Fachhochschule Ludwigsburg-Hochschule für öffentliche Verwaltung und Finanzen,
明斯特应用技术大学,Fachhochschule Münster,
瑞士西北高等专业学院,"Fachhochschule Nordwestschweiz, FHNW",
上奥地利州应用科学大学,Fachhochschule Oberösterreich Studienbetriebs GmbH,
瑞士东部高等专业学院,"Fachhochschule Ostschweiz, FHO",
波茨坦应用技术大学,Fachhochschule Potsdam,
萨尔茨堡应用科学大学,Fachhochschule Salzburg,
圣珀尔滕应用科学大学,Fachhochschule St. Pölten GmbH,
西南法伦应用技术大学,Fachhochschule Südwestfalen,
维也纳技术应用科学大学,Fachhochschule Technikum Wien,
西海岸应用技术大学,"Fachhochschule Westküste, Hochschule für Wirtschaft und Technik",
维也纳新城应用科学大学,Fachhochschule Wiener Neustadt,
AIEC学院,Faculdade AIEC,
佩洛塔斯阿尼杨格拉学院,Faculdade Anhanguera de Pelotas,
北里奥格兰德科学、文化与推广学院,"Faculdade de Ciências, Cultura e Extensão do Rio Grande do Norte",
阿曼多·阿尔瓦雷斯·彭特亚多基金会法学院,Faculdade de Direito da Fundação Armando Alvares Penteado,
巴拉那高等教育学院,Faculdade de Educação Superior do Paraná,
南部技术学院,Faculdade de Tecnologia da Zona Sul,
伊塔佩蒂宁加技术学院,Faculdade de Tecnologia de Itapetininga,
堂·佩德罗二世学院,Faculdade Dom Pedro II,
管理与商业学院,Faculdade FIA de Administração e Negócios,
玛莎·法尔考学院,Faculdade Martha Falcão,
伯南布哥卫生学院,Faculdade Pernambucana de Saúde,
里约麦肯锡长老会学院,Faculdade Presbiteriana Mackenzie Rio,
利马宗座神学与世俗学院,Facultad de Teología Pontificia y Civil de Lima,
拉丁美洲社会科学院（FLACSO）,Facultad Latinoamericana de Ciencias Sociales (FLACSO),
伊斯兰宣教学院,Faculty of Islamic Call,
费尔菲尔德大学,Fairfield University,
菲尔莱狄更斯大学,Fairleigh Dickinson University,
费尔蒙特州立大学,Fairmont State University,
福尔茅斯大学,Falmouth University,
范莎应用艺术与技术学院,Fanshawe College of Applied Arts and Technology,
